,name,CAS,smiles,Incineration,Recycling,Bio-treatment,VOC emissions,Environment - water,Environment - air,Health,Exposure,Flamability,Stability,waste_score,environment_score,health_score,safety_score,total_score
52,"N,N-Dimethyl acetamide",127-19-5,CC(=O)N(C)C,3,6,3,9,10,6,1,7,9,9,4.6952537402198615,7.745966692414834,2.6457513110645907,9.0,5.424772821006459
53,Glycerol triacetate,102-76-1,CC(=O)OCC(COC(C)=O)OC(C)=O,5,5,7,10,9,10,10,10,9,10,6.467843638084008,9.486832980505138,10.0,9.486832980505138,8.734750522593574
54,Ethyl lactate,97-64-3,CCOC(=O)C(C)O,4,6,4,8,9,6,4,6,8,10,5.26429605180997,7.3484692283495345,4.898979485566356,8.94427190999916,6.416481549814619
55,2-Butanol,78-92-2,CCC(C)O,5,3,3,6,10,4,10,7,8,9,4.053600464421104,6.324555320336759,8.366600265340756,8.48528137423857,6.5316296410480605
56,Butyl acetate,123-86-4,CCCCOC(C)=O,8,9,7,8,8,3,10,8,8,10,7.96856520746051,4.898979485566356,8.94427190999916,8.94427190999916,7.475563496415889
57,Di(ethylene glycol),111-46-6,OCCOCCO,4,5,5,10,10,8,7,10,10,9,5.62341325190349,8.94427190999916,8.366600265340756,9.486832980505138,7.948841130704294
58,Carbon disulphide,75-15-0,S=C=S,4,8,7,1,6,4,4,1,1,6,3.8686728405353383,4.898979485566356,2.0,2.449489742783178,3.1041543766443995
59,"1,2-Propanediol",57-55-6,CC(O)CO,4,5,5,10,10,6,7,10,10,10,5.62341325190349,7.745966692414834,8.366600265340756,10.0,7.76973418771297
60,Cyclopentyl methyl ether,5614-37-9,COC1CCCC1,8,4,5,6,4,3,4,4,6,9,5.566315367427482,3.4641016151377544,4.0,7.3484692283495345,4.8792584805034735
61,Anisole,100-66-3,COc1ccccc1,8,8,8,8,7,6,7,8,7,9,7.999999999999998,6.48074069840786,7.483314773547883,7.937253933193772,7.449373164410006
62,Ethyl formate,109-94-4,CCOC=O,5,8,4,2,8,7,10,5,4,10,4.229485053762256,7.483314773547883,7.0710678118654755,6.324555320336759,6.1337225368079356
63,p-Cymene,99-87-6,Cc1ccc(C(C)C)cc1,10,8,7,9,3,2,10,6,6,9,8.425731861221042,2.449489742783178,7.745966692414834,7.3484692283495345,5.8544882822987665
64,Cyrene,53716-82-8,O=C1CCC2COC1O2,4,4,5,10,9,6,4,8,10,10,5.3182958969449885,7.3484692283495345,5.656854249492381,10.0,6.857030661802528
65,Cyclopentanone,120-92-3,O=C1CCCC1,8,9,6,7,10,5,7,6,8,10,7.415585502134682,7.0710678118654755,6.48074069840786,8.94427190999916,7.4250609312153975
66,2-Methyltetrahydrofuran,96-47-9,CC1CCCO1,6,5,3,4,7,4,4,3,4,6,4.355877174692863,5.291502622129181,3.4641016151377544,4.898979485566356,4.447210856061633
67,Glycerol,56-81-5,OCC(O)CO,4,5,5,10,10,8,4,10,10,10,5.62341325190349,8.94427190999916,6.324555320336759,10.0,7.510065889329079
68,у-Valerolactone,108-29-2,CC1CCC(=O)O1,8,7,10,9,10,6,4,7,9,10,8.425731861221042,7.745966692414834,5.291502622129181,9.486832980505138,7.565643662628719
